name,description,directorName,category,imdbrating,releaseDate,language,country,actorNames,tags
Soorarai Pottru,A man struggles to launch a low-cost airline,Sudha Kongara,Biography,8.7,2020-11-12,Tamil,India,Suriya|Aparna Balamurali|Paresh Rawal,inspiration|aviation|biopic
Kaithi,A prisoner helps police in exchange for a meeting with his daughter,Lokesh Kanagaraj,Thriller,8.5,2019-10-25,Tamil,India,Karthi|Narain|Arjun Das,night|escape|drug bust
96,Two high school lovers meet again after years,C. Prem Kumar,Romance,8.6,2018-10-04,Tamil,India,Vijay Sethupathi|Trisha Krishnan|Bagavathi Perumal,romance|nostalgia|school
Pariyerum Perumal,A low-caste law student battles caste discrimination,Mari Selvaraj,Drama,8.8,2018-09-28,Tamil,India,Kathir|Anandhi|Yogi Babu,caste|justice|college
Petta,A hostel warden hides a dangerous past,Karthik Subbaraj,Action,7.3,2019-01-10,Tamil,India,Rajinikanth|Vijay Sethupathi|Nawazuddin Siddiqui,revenge|thriller|vintage
Asuran,A farmer turns violent to protect his family,Vetrimaaran,Drama,8.5,2019-10-04,Tamil,India,Dhanush|Manju Warrier|Pasupathy,violence|land|survival
Jigarthanda,A filmmaker explores a gangster’s life,Karthik Subbaraj,Comedy,8.2,2014-08-01,Tamil,India,Siddharth|Bobby Simha|Lakshmi Menon,gangster|film-making|dark comedy
Thuppakki,An army officer hunts down terrorists in Mumbai,A.R. Murugadoss,Action,8.0,2012-11-13,Tamil,India,Vijay|Kajal Aggarwal|Vidya Balan,army|terrorism|thriller
Agent Sai Srinivasa Athreya,A detective from Nellore solves a murder mystery,Swaroop RSJ,Comedy,8.3,2019-06-21,Telugu,India,Naveen Polishetty|Shruti Sharma,mystery|detective|humor
Kantara,A conflict between forest dwellers and land mafia, Rishab Shetty,Drama,8.3,2022-09-30,Kannada,India,Rishab Shetty|Sapthami Gowda|Kishore,tradition|forest|conflict
Uppena,A young couple fights caste-based discrimination,Buchi Babu Sana,Romance,6.6,2021-02-12,Telugu,India,Vaisshnav Tej|Krithi Shetty|Vijay Sethupathi,romance|caste|tragedy
Bhimbisara,A ruthless king time travels to the present day,Mallidi Vassishta,Fantasy,6.8,2022-08-05,Telugu,India,Kalyan Ram|Catherine Tresa|Samyuktha,time-travel|mythology|action
Dasara,A coal miner rises in revolt against the powerful,Srikanth Odela,Action,7.7,2023-03-30,Telugu,India,Nani|Keerthy Suresh|Dheekshith Shetty,revenge|coal|village
Major,Biopic of Major Sandeep Unnikrishnan,Sashi Kiran Tikka,Biography,8.2,2022-06-03,Telugu,India,Adivi Sesh|Saiee Manjrekar|Sobhita Dhulipala,patriotism|biopic|26/11
Virata Parvam,A love story set during Naxalite movement,Venu Udugula,Drama,6.7,2022-06-17,Telugu,India,Rana Daggubati|Sai Pallavi|Priyamani,naxal|romance|rebel
Balagam,A young man's death exposes family tensions,Venu Yeldandi,Drama,8.2,2023-03-03,Telugu,India,Priyadarshi|Kavya Kalyanram|Sudhakar Reddy,family|village|rituals
Oke Oka Jeevitham,A man travels to the past to meet his mother again,Shree Karthick,SciFi,7.6,2022-09-09,Telugu,India,Sharwanand|Ritu Varma|Amala Akkineni,time-travel|mother|emotional
Karthikeya 2,A man investigates ancient mysteries around Lord Krishna,Chandoo Mondeti,Adventure,7.9,2022-08-13,Telugu,India,Nikhil Siddhartha|Anupama Parameswaran|Anupam Kher,mythology|mystery|temple
Reservoir Dogs,A botched diamond heist leads to paranoia and betrayal,Quentin Tarantino,Crime,8.3,1992-10-23,English,USA,Harvey Keitel|Tim Roth|Michael Madsen,heist|betrayal|violence
Kill Bill: Vol. 1,A former assassin seeks revenge on her ex-colleagues,Quentin Tarantino,Action,8.1,2003-10-10,English,USA,Uma Thurman|Lucy Liu|Vivica A. Fox,revenge|samurai|female-lead
Kill Bill: Vol. 2,The Bride continues her vengeance facing her final foe,Quentin Tarantino,Action,8.0,2004-04-16,English,USA,Uma Thurman|David Carradine|Michael Madsen,revenge|final-duel|closure
Inglourious Basterds,A group of Jewish-American soldiers hunt Nazis in WWII France,Quentin Tarantino,War,8.3,2009-08-21,English,USA,Brad Pitt|Christoph Waltz|Diane Kruger,WWII|nazis|alternate-history
Django Unchained,A freed slave teams up with a bounty hunter to rescue his wife,Quentin Tarantino,Western,8.5,2012-12-25,English,USA,Jamie Foxx|Christoph Waltz|Leonardo DiCaprio,slavery|revenge|western
The Hateful Eight,Strangers trapped in a cabin uncover dark secrets,Quentin Tarantino,Western,7.8,2015-12-25,English,USA,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh,suspense|snowed-in|betrayal
Jackie Brown,A flight attendant caught between cops and criminals,Quentin Tarantino,Crime,7.5,1997-12-25,English,USA,Pam Grier|Samuel L. Jackson|Robert Forster,smuggling|double-cross|heist
Death Proof,A stuntman stalks and kills women using his car,Quentin Tarantino,Thriller,6.9,2007-05-31,English,USA,Kurt Russell|Zoë Bell|Rosario Dawson,car-chase|stalker|grindhouse
Once Upon a Time in Hollywood,An aging actor and his stunt double navigate a changing Hollywood,Quentin Tarantino,Comedy,7.6,2019-07-26,English,USA,Leonardo DiCaprio|Brad Pitt|Margot Robbie,1960s|Hollywood|Manson
Schindler's List,A businessman saves over a thousand Jews during the Holocaust,Steven Spielberg,Biography,9.0,1993-12-15,English,USA,Liam Neeson|Ralph Fiennes|Ben Kingsley,holocaust|WWII|true-story
Saving Private Ryan,A squad is sent to rescue a soldier during WWII,Steven Spielberg,War,8.6,1998-07-24,English,USA,Tom Hanks|Matt Damon|Tom Sizemore,WWII|rescue|brotherhood
Jurassic Park,Scientists clone dinosaurs for a theme park with disastrous results,Steven Spielberg,SciFi,8.2,1993-06-11,English,USA,Sam Neill|Laura Dern|Jeff Goldblum,dinosaurs|genetics|disaster
E.T. the Extra-Terrestrial,A young boy befriends an alien stranded on Earth,Steven Spielberg,Family,7.9,1982-06-11,English,USA,Henry Thomas|Drew Barrymore|Dee Wallace,alien|friendship|childhood
Jaws,A great white shark terrorizes a beach town,Steven Spielberg,Thriller,8.1,1975-06-20,English,USA,Roy Scheider|Robert Shaw|Richard Dreyfuss,shark|beach|suspense
Catch Me If You Can,A con artist forges checks while evading the FBI,Steven Spielberg,Crime,8.1,2002-12-25,English,USA,Leonardo DiCaprio|Tom Hanks|Christopher Walken,con-artist|FBI|cat-and-mouse
Indiana Jones and the Last Crusade,Indiana Jones searches for the Holy Grail with his father,Steven Spielberg,Adventure,8.2,1989-05-24,English,USA,Harrison Ford|Sean Connery|Denholm Elliott,treasure-hunt|father-son|nazis
The Terminal,A man is stranded at an airport when his country collapses,Steven Spielberg,Drama,7.4,2004-06-18,English,USA,Tom Hanks|Catherine Zeta-Jones|Stanley Tucci,airport|immigration|based-on-true-story
War of the Worlds,An alien invasion threatens humanity's survival,Steven Spielberg,SciFi,6.5,2005-06-29,English,USA,Tom Cruise|Dakota Fanning|Tim Robbins,alien-invasion|survival|apocalypse
Bridge of Spies,A lawyer negotiates the exchange of spies during the Cold War,Steven Spielberg,Thriller,7.6,2015-10-16,English,USA,Tom Hanks|Mark Rylance|Amy Ryan,cold-war|spy|negotiation
Tenet,A secret agent manipulates time to prevent World War III,Christopher Nolan,Action,7.8,2020-08-26,English,UK,John David Washington|Robert Pattinson|Elizabeth Debicki,time-inversion|espionage|sci-fi
Dunkirk,Allied soldiers are evacuated from Dunkirk in WWII,Christopher Nolan,War,7.8,2017-07-21,English,UK,Fionn Whitehead|Tom Hardy|Harry Styles,WWII|survival|evacuation
The Prestige,Two rival magicians engage in a deadly competition,Christopher Nolan,Drama,8.5,2006-10-20,English,USA,Hugh Jackman|Christian Bale|Scarlett Johansson,magic|rivalry|obsession
Batman Begins,Bruce Wayne becomes Batman to fight crime in Gotham,Christopher Nolan,Action,8.2,2005-06-15,English,USA,Christian Bale|Michael Caine|Liam Neeson,origin|superhero|fear
The Dark Knight Rises,Batman returns to face the terrorist Bane,Christopher Nolan,Action,8.4,2012-07-20,English,USA,Christian Bale|Tom Hardy|Anne Hathaway,redemption|terrorism|gotham
Insomnia,A detective investigates a murder in an Alaskan town,Christopher Nolan,Thriller,7.2,2002-05-24,English,USA,Al Pacino|Robin Williams|Hilary Swank,murder|guilt|sleep-deprivation
Following,A young writer follows strangers and gets caught in crime,Christopher Nolan,Thriller,7.5,1998-09-12,English,UK,Jeremy Theobald|Alex Haw|Lucy Russell,stalking|crime|black-and-white
